id;ident;iata;name;latitude_deg;longitude_deg
495;EGHI;SOU;Southampton Airport;50.95029831;-1.35679996
496;EGHL;QLA;Lasham Airport;51.18719864;-1.033499956
497;EGJA;ACI;Alderney Airport;49.706104;-2.21472
498;EGJB;GCI;Guernsey Airport;49.43500137;-2.601969957
499;EGJJ;JER;Jersey Airport;49.207901;-2.195509911
500;EGKA;ESH;Shoreham Airport;50.835602;-0.297222
501;EGKB;BQH;London Biggin Hill Airport;51.3307991;0.032499999
502;EGKK;LGW;London Gatwick Airport;51.148102;-0.190278
503;EGLC;LCY;London City Airport;51.505299;0.055278
504;EGLF;FAB;Farnborough Airport;51.2757988;-0.776332974
506;EGLK;BBS;Blackbushe Airport;51.32389832;-0.847500026
507;EGLL;LHR;London Heathrow Airport;51.4706;-0.461941
508;EGMC;SEN;Southend Airport;51.57139969;0.695555985
509;EGMD;LYX;Lydd Airport;50.95610046;0.939167023
510;EGMH;MSE;Kent International Airport;51.342201;1.34611
512;EGNC;CAX;Carlisle Airport;54.9375;-2.809170008
514;EGNH;BLK;Blackpool International Airport;53.77170181;-3.028609991
515;EGNJ;HUY;Humberside Airport;53.57440186;-0.350832999
516;EGNL;BWF;Barrow Walney Island Airport;54.1286111;-3.2675
517;EGNM;LBA;Leeds Bradford Airport;53.86589813;-1.660570025
518;EGNO;WRT;Warton Airport;53.745098;-2.88306
519;EGNR;CEG;Hawarden Airport;53.17810059;-2.977780104
520;EGNS;IOM;Isle of Man Airport;54.08330154;-4.623889923
521;EGNT;NCL;Newcastle Airport;55.03749847;-1.691669941
522;EGNV;MME;Durham Tees Valley Airport;54.50920105;-1.429409981
523;EGNX;EMA;East Midlands Airport;52.83110046;-1.328060031
529;EGPA;KOI;Kirkwall Airport;58.95780182;-2.904999971
530;EGPB;LSI;Sumburgh Airport;59.87889862;-1.295560002
531;EGPC;WIC;Wick Airport;58.45890045;-3.093060017
532;EGPD;ABZ;Aberdeen Dyce Airport;57.20190048;-2.197779894
533;EGPE;INV;Inverness Airport;57.54249954;-4.047500134
534;EGPF;GLA;Glasgow International Airport;55.87189865;-4.433060169
535;EGPH;EDI;Edinburgh Airport;55.95000076;-3.372499943
536;EGPI;ILY;Islay Airport;55.68190002;-6.256669998
537;EGPK;PIK;Glasgow Prestwick Airport;55.50939941;-4.586669922
538;EGPL;BEB;Benbecula Airport;57.48109818;-7.362780094
539;EGPM;SCS;Scatsta Airport;60.43280029;-1.296110034
540;EGPN;DND;Dundee Airport;56.45249939;-3.02583003
541;EGPO;SYY;Stornoway Airport;58.21559906;-6.331110001
542;EGPU;TRE;Tiree Airport;56.49919891;-6.869170189
543;EGQL;ADX;RAF Leuchars;56.3728981;-2.868439913
544;EGQS;LMO;RAF Lossiemouth;57.7052002;-3.339169979
545;EGSC;CBG;Cambridge Airport;52.205002;0.175
547;EGSH;NWI;Norwich International Airport;52.67580032;1.282780051
548;EGSS;STN;London Stansted Airport;51.88499832;0.234999999
552;EGTE;EXT;Exeter International Airport;50.7344017;-3.413889885
553;EGTG;FZO;Bristol Filton Airport;51.51940155;-2.590830088
554;EGTK;OXF;Oxford (Kidlington) Airport;51.8368988;-1.320000052
555;EGUB;BEX;RAF Benson;51.61640167;-1.095829964
556;EGUL;LKZ;RAF Lakenheath;52.40930176;0.56099999
557;EGUN;MHZ;RAF Mildenhall;52.36190033;0.486405998
559;EGUY;QUY;RAF Wyton;52.35720062;-0.107832998
560;EGVA;FFD;RAF Fairford;51.68220139;-1.790030003
561;EGVN;BZZ;RAF Brize Norton;51.75;-1.58362
562;EGVO;ODH;RAF Odiham;51.23410034;-0.942825019
564;EGWU;NHT;RAF Northolt;51.5530014;-0.418166995
565;EGXC;QCY;RAF Coningsby;53.0929985;-0.166014001
569;EGXH;BEQ;RAF Honington;52.34260178;0.772939026
571;EGXP;SQZ;RAF Scampton;53.30780029;-0.550832987
573;EGXU;HRT;RAF Linton-On-Ouse;54.0489006;-1.252750039
574;EGXW;WTN;RAF Waddington;53.16619873;-0.523810983
578;EGYM;KNF;RAF Marham;52.648395;0.550692
579;EGYP;MPN;Mount Pleasant Airport;-51.82279968;-58.44720078
580;EHAM;AMS;Amsterdam Airport Schiphol;52.308601;4.76389
582;EHBK;MST;Maastricht Aachen Airport;50.911701;5.77014
585;EHEH;EIN;Eindhoven Airport;51.45009995;5.374529839
586;EHGG;GRQ;Eelde Airport;53.11970139;6.579440117
587;EHGR;GLZ;Gilze Rijen Air Base;51.56740189;4.931829929
588;EHKD;DHR;De Kooy Airport;52.92340088;4.780620098
589;EHLE;LEY;Lelystad Airport;52.4603;5.52722
590;EHLW;LWR;Leeuwarden Air Base;53.22859955;5.760560036
591;EHRD;RTM;Rotterdam The Hague Airport;51.956902;4.43722
592;EHSB;UTC;Soesterberg Air Base;52.12730026;5.276189804
593;EHTW;ENS;Twente Airport;52.275833;6.889167
594;EHVB;LID;Valkenburg Naval Air Base;52.16609955;4.41794014
595;EHWO;WOE;Woensdrecht Air Base;51.4491;4.34203
596;EICK;ORK;Cork Airport;51.84130096;-8.491109848
597;EICM;GWY;Galway Airport;53.30020142;-8.941590309
599;EIDW;DUB;Dublin Airport;53.421299;-6.27007
600;EIKN;NOC;Ireland West Knock Airport;53.91030121;-8.818490028
601;EIKY;KIR;Kerry Airport;52.18090057;-9.523779869
603;EINN;SNN;Shannon Airport;52.702;-8.92482
604;EISG;SXL;Sligo Airport;54.28020096;-8.599209785
605;EIWF;WAT;Waterford Airport;52.18719864;-7.086959839
607;EKAH;AAR;Aarhus Airport;56.29999924;10.61900043
608;EKBI;BLL;Billund Airport;55.74029922;9.151780128
609;EKCH;CPH;Copenhagen Kastrup Airport;55.61790085;12.65600014
610;EKEB;EBJ;Esbjerg Airport;55.525902;8.5534
612;EKKA;KRP;Karup Airport;56.29750061;9.124629974
613;EKLS;BYR;Loso Airport;57.27719879;11.00010014
614;EKMB;MRW;Lolland Falster Maribo Airport;54.699299;11.4401
615;EKOD;ODE;Odense Airport;55.47669983;10.33090019
617;EKRK;RKE;Copenhagen Roskilde Airport;55.58560181;12.13140011
